Flex1,Flex2,Flex3,Flex4,Flex5,Label
403,56,217,210,251,3.5
401,55,216,209,249,3.5
401,56,218,210,247,3.5
407,57,217,209,248,3.5
406,57,218,209,248,3.5
405,57,217,210,249,3.5
405,57,219,211,249,3.5
401,57,218,209,249,3.5
400,56,219,209,250,3.5
401,57,218,209,248,3.5
400,55,217,209,249,3.5
400,56,217,208,248,3.5
401,57,218,208,249,3.5
402,57,218,207,248,3.5
400,57,219,209,248,3.5
403,56,219,208,248,3.5
401,57,219,214,249,3.5
400,56,221,212,249,3.5
403,57,219,212,250,3.5
400,56,220,212,249,3.5
398,55,218,211,249,3.5
404,57,218,210,248,3.5
400,55,219,211,248,3.5
401,56,220,213,247,3.5
403,56,219,211,247,3.5
405,57,220,211,248,3.5
402,56,221,211,247,3.5
404,57,218,211,248,3.5
399,56,218,211,246,3.5
401,54,218,212,248,3.5
404,55,219,210,246,3.5
401,56,219,211,246,3.5
404,56,219,211,247,3.5
403,58,218,211,247,3.5
403,58,218,210,248,3.5
403,58,219,209,247,3.5
401,56,219,212,247,3.5
403,57,217,211,245,3.5
400,57,219,210,246,3.5
400,56,217,210,245,3.5
402,56,218,209,247,3.5
403,58,218,210,246,3.5
405,57,220,211,247,3.5
402,57,219,210,246,3.5
403,57,220,209,246,3.5
403,57,220,210,246,3.5
402,57,218,209,247,3.5
400,56,220,211,245,3.5
403,56,219,208,247,3.5
403,56,219,209,246,3.5
405,55,220,209,245,3.5
400,58,219,208,247,3.5
403,57,220,210,247,3.5
402,58,220,209,247,3.5
403,57,220,206,246,3.5
401,57,219,207,248,3.5
401,57,220,206,247,3.5
399,56,219,202,247,3.5
403,56,219,201,245,3.5
402,57,219,206,246,3.5
404,57,219,205,247,3.5
403,56,220,204,246,3.5
404,59,220,209,247,3.5
402,56,220,207,246,3.5
399,57,219,207,246,3.5
403,56,220,160,245,3.5
402,54,219,161,247,3.5
400,56,218,161,246,3.5
404,58,219,163,245,3.5
403,56,219,163,246,3.5
402,59,220,165,248,3.5
401,57,221,166,247,3.5
401,57,219,164,246,3.5
402,55,219,164,246,3.5
400,56,218,164,246,3.5
401,56,220,163,247,3.5
405,57,220,165,245,3.5
402,58,220,165,246,3.5
402,59,221,165,247,3.5
401,57,219,165,246,3.5
399,57,220,164,246,3.5
401,56,219,163,246,3.5
399,56,220,163,246,3.5
404,55,219,163,247,3.5
404,56,219,163,246,3.5
399,57,219,203,247,3.5
403,57,220,208,246,3.5
404,57,220,207,246,3.5
401,56,220,202,246,3.5
400,57,219,216,247,3.5
400,57,220,217,246,3.5
401,57,218,216,247,3.5
403,57,218,215,247,3.5
405,58,219,215,246,3.5
407,57,219,214,247,3.5
404,59,220,214,247,3.5
403,57,219,208,247,3.5
404,57,218,210,246,3.5
399,56,220,210,246,3.5
401,55,218,209,246,3.5
